ID,"Date année","Date mois","Date jour",Départ,Arrivée,Pays,"KMs jour","KMs cumulé","Altitude (m)","Latitude degrés","Latitude minutes","Latitude décimale","Latitude radian","Longitude degrés","Longitude minutes","Longitude décimale","Longitude radian","KMs du départ (vol oiseau)","KMs du départ (corde)","KMs par étapes (segments)","KMs par étapes (cumulé)",Objet,Lieu,Contexte,Catégorie,Post,Jour,Titre,"Poids (g)","Taille (mm)",Couleur,Matière,Origine,Date,Coordonnées,,,
237,2013,5,24,Mexico-D.F,Mexico-D.F,Mexico,15,5235,2234,19,2646,19441,3393,-99,-3416,-990569,-17289,87738,80971,16,19223,Diamants,"Cuchilla del Tesoro",Déménagement,"Carnet de bord",1,"Jour 237","Cuchilla del Tesoro",22,9,14,0,2,"vendredi 24 mai 2013","N 19°26,460' W 99°03,416'",,,
238,2013,5,25,Mexico-D.F,Mexico-D.F,Mexico,0,5235,2243,19,25822,194304,3391,-99,-8138,-991356,-17302,87803,81021,83,192314,Epingle,"Rue Republica de Uruguay, Mexico City","Insatal' Partie","Carnet de bord",1,"Jour 238","Rue Republica de Uruguay, Mexico City",16,37,14,2,2,"samedi 25 mai 2013","N 19°25,822' W 99°08,138'",,,
239,2013,5,26,Mexico-D.F,Mexico-D.F,Mexico,0,5235,2241,19,25782,194297,3391,-99,-8215,-991369,-17303,87804,81022,2,192315,"Etiquette rouge","Rue Isabel La Catolica, Mexico City",Exploration,"Carnet de bord",1,"Jour 239","Rue Isabel La Catolica, Mexico City",3,21,12,3,2,"dimanche 26 mai 2013","N 19°25,782' W 99°08,215'",,,
240,2013,5,27,Mexico-D.F,Mexico-D.F,Mexico,0,5235,2234,19,25524,194254,339,-99,-8251,-991375,-17303,87808,81025,5,19232,"Etoile fillante","Rue Isabel La Catolica, Mexico City","Pogo métro","Carnet de bord",1,"Jour 240","Rue Isabel La Catolica, Mexico City",7,75,11,3,2,"lundi 27 mai 2013","N 19°25,524' W 99°08,251'",,,
241,2013,5,28,Mexico-D.F,Mexico-D.F,Mexico,0,5235,2242,19,25866,194311,3391,-99,-8466,-991411,-17303,87806,81024,7,192327,"Pointe de fer à souder","Quartier électronique",Electoshop,"Carnet de bord",1,"Jour 241","Quartier électronique",764,56,14,2,2,"mardi 28 mai 2013","N 19°25,866' W 99°08,466'",,,
242,2013,5,29,Mexico-D.F,Mexico-D.F,Mexico,0,5235,2239,19,25982,19433,3392,-99,-7991,-991332,-17302,87799,81018,9,192336,Trombone,"Plaza De La Constitucion, Mexico City","Promenade nocturne","Carnet de bord",1,"Jour 242","Plaza De La Constitucion, Mexico City",42,27,14,2,2,"mercredi 29 mai 2013","N 19°25,982' W 99°07,991'",,,
243,2013,5,30,Mexico-D.F,Mexico-D.F,Mexico,15,5250,2230,19,20369,193395,3375,-99,-8573,-991429,-17304,87882,81082,105,19244,"Mini Mousqueton","Terminal Sud, Mexico City","Départ vers le sud","Carnet de bord",1,"Jour 243","Terminal Sud, Mexico City",127,25,14,2,2,"jeudi 30 mai 2013","N 19°20,369' W 99°08,573'",,,
244,2013,5,31,Mexico-D.F,Barra-de-Coyuca,Mexico,0,5250,21,16,56902,169484,2958,-100,-6776,-1001129,-17473,90535,83111,285,195291,Perles,"Barra de Coyuca","Plage, bouffe, plage","Carnet de bord",1,"Jour 244","Barra de Coyuca",25,9,13,3,2,"vendredi 31 mai 2013","N 16°56,902' W 100°06,776'",,,
245,2013,6,1,Barra-de-Coyuca,Barra-de-Coyuca,Mexico,0,5250,21,16,56902,169484,2958,-100,-6776,-1001129,-17473,90535,83111,0,195291,"Testicules de Schtroumpf","Barra de Coyuca","Vacances (suite)","Carnet de bord",1,"Jour 245","Barra de Coyuca",1,10,7,3,2,"samedi 1 juin 2013","N 16°56,902' W 100°06,776'",,,
246,2013,6,2,Barra-de-Coyuca,Acapulco,Mexico,0,5250,14,16,50557,168426,294,-99,-55611,-999269,-17441,90489,83076,23,195521,"Bille de soudure à l’arc","Atelier de Las Gruas Locas","Rencontre avec les acteurs de Las Gruas Locas","Carnet de bord",1,"Jour 246","Atelier de Las Gruas Locas",49,115,14,0,2,"samedi 1 juin 2013","N 19°26,223' W 99°07,148'",,,
247,2013,6,3,Acapulco,Mazunte,Mexico,0,5250,10,15,39898,15665,2734,-96,-3325,-965542,-16852,89018,81955,3832,199353,"Ficelle d'argent",Acapulco,Transit,"Carnet de bord",1,"Jour 247",Acapulco,95,20,1,6,1,"dimanche 2 juin 2013","N 16°50,557' W 99°55,611'",,,
248,2013,6,4,Mazunte,Mazunte,Mexico,0,5250,5,15,39511,156585,2733,-96,-32162,-96536,-16849,8901,81949,21,199374,"Corail rouge",Mazunte,"Vacance suite","Carnet de bord",1,"Jour 248",Mazunte,78,18,1,7,1,"lundi 3 juin 2013","N 15°39,898' W 96°33,250'",,,
249,2013,6,5,Mazunte,Mazunte,Mexico,0,5250,5,15,39511,156585,2733,-96,-33162,-965527,-16852,89022,81959,18,199392,Coquillage,Mazunte,"Glandage intensif","Carnet de bord",1,"Jour 249",Mazunte,33,46,1,3,2,"mardi 4 juin 2013","N 15°39,511' W 96°32,162'",,,
250,2013,6,6,Mazunte,San-Agustinillo,Mexico,0,5250,7,15,3955,156592,2733,-96,-32227,-965371,-16849,8901,8195,17,199408,"Bracelet caoutchouc",Mazunte,"Glandage suite","Carnet de bord",1,"Jour 250",Mazunte,136,23,11,7,1,"mercredi 5 juin 2013","N 15°39,511' W 96°33,162'",,,
251,2013,6,7,San-Agustinillo,Juchitan,Mexico,0,5250,35,16,26699,16445,287,-95,-1502,-95025,-16585,8727,80609,1837,201246,Coquillage,"San Agustinillo","Grosse houle","Carnet de bord",1,"Jour 251","San Agustinillo",487,62,15,0,2,"jeudi 6 juin 2013","N 15°39,550' W 96°32,227'",,,
252,2013,6,8,Juchitan,Juchitan,Mexico,0,5250,22,16,25522,164254,2867,-95,-1125,-950188,-16584,87281,80618,23,201269,"Cable de cuivre","Terminal de autobus, Juchitan",Arrivée,"Carnet de bord",1,"Jour 252","Terminal de autobus, Juchitan",48,48,14,3,2,"vendredi 7 juin 2013","N 16°26,699' W 95°01,502'",,,
253,2013,6,9,Juchitan,Juchitan,Mexico,0,5250,35,16,26691,164449,287,-95,-1506,-950251,-16585,8727,80609,23,201291,Barrette,Juchitan,inquiètude,"Carnet de bord",1,"Jour 253",Juchitan,228,50,17,2,2,"samedi 8 juin 2013","N 16°25,522' W 95°01,125'",,,
254,2013,6,10,Juchitan,Ocosingo,Mexico,0,5250,859,16,54559,169093,2951,-92,-6,-921,-16074,84756,78646,3159,204451,Clou,"Terminal de autobus, Juchitan","Séparation temporaire","Carnet de bord",1,"Jour 254","Terminal de autobus, Juchitan",44,11,15,0,2,"dimanche 9 juin 2013","N 16°26,691' W 95°01,506'",,,
255,2013,6,11,Ocosingo,Ocosingo,Mexico,0,5250,943,16,50557,168426,294,-91,-55611,-919269,-16044,84683,78589,199,204649,"Connectique USB",Ocosingo,"Recherche d'une chambre","Carnet de bord",1,"Jour 255",Ocosingo,1,15,17,6,1,"lundi 10 juin 2013","N 16°54,559' W 92°06,000'",,,
256,2013,6,12,Ocosingo,Palenque,Mexico,0,5250,895,16,54328,169055,2951,-92,-5593,-920932,-16073,84755,78645,19,20484,"Fragment de pierre de Tonina",Tonina,"Visite des ruines de Tonina","Carnet de bord",1,"Jour 256",Tonina,179,11,17,0,2,"mardi 11 juin 2013","N 16°50,557' W 99°55,611'",,,
257,2013,6,13,Palenque,Palenque,Mexico,0,5250,79,17,30328,175055,3055,-91,-5857,-919762,-16053,84185,78196,679,205518,Pile,"Ocosingo, Terminal de autobus",Bus,"Carnet de bord",1,"Jour 257","Ocosingo, Terminal de autobus",17,34,0,0,2,"mercredi 12 juin 2013","N 16°54,328' W 92°05,593'",,,
258,2013,6,14,Palenque,Palenque,Mexico,0,5250,29,17,29432,174905,3053,-92,-1444,-920241,-16061,84232,78233,53,205572,allumette,Palenque,"Mise à jour","Carnet de bord",1,"Jour 258",Palenque,49,16,17,2,2,"jeudi 13 juin 2013","N 17°30,328' W 91°58,570'",,,
259,2013,6,15,Palenque,Palenque,Mexico,0,5250,78,17,30328,175055,3055,-91,-59486,-919914,-16056,84197,78205,38,20561,Ressort,"El Panchan",Tourisme,"Carnet de bord",1,"Jour 259","El Panchan",26,9,15,0,2,"vendredi 14 juin 2013","N 17°29,432' W 92°01,444'",,,
260,2013,6,16,Palenque,Palenque,Mexico,0,5250,77,17,30327,175055,3055,-91,-58551,-919759,-16053,84185,78196,17,205627,Camera,Palenque,Migraine,"Carnet de bord",1,"Jour 260",Palenque,108,42,6,3,2,"samedi 15 juin 2013","N 17°30,328' W 91°59,486'",,,
261,2013,6,17,Palenque,Palenque,Mexico,0,5250,146,17,2931,174885,3052,-92,-2459,-92041,-16064,84246,78245,72,205698,"Pog Simpsons",Palenque,Retrouvailles,"Carnet de bord",1,"Jour 261",Palenque,379,26,13,6,1,"dimanche 16 juin 2013","N 17°30,327' W 91°58,551'",,,
262,2013,6,18,Palenque,Palenque,Mexico,0,5250,145,17,1444,172407,3009,-91,-34324,-915721,-15982,84102,78131,569,206267,"Fragment de pierre des ruines de Palenque","Ruines de Palenque","Exploration des ruines","Carnet de bord",1,"Jour 262","Ruines de Palenque",196,56,14,2,2,"lundi 17 juin 2013","N 17°29,310' W 92°02,459'",,,
263,2013,6,19,Palenque,Palenque,Mexico,0,5250,140,17,29557,174926,3053,-92,-2497,-920416,-16064,84244,78242,572,206839,"Tige de metal","Welib Ha",Baignade,"Carnet de bord",1,"Jour 263","Welib Ha",63,42,5,3,2,"mardi 18 juin 2013","N 17°14,440' W 91°34,324'",,,
264,2013,6,20,Palenque,Campeche,Mexico,0,5250,78,17,30366,175061,3055,-91,-58502,-91975,-16053,84184,78195,72,206911,"Soldat plastique","El Panchan",Préparatifs,"Carnet de bord",1,"Jour 264","El Panchan",494,15,16,8,2,"mercredi 19 juin 2013","N 17°29,557' W 92°02,497'",,,
265,2013,6,21,Campeche,Mexico-D.F,Mexico,0,5250,24,16,25576,164263,2867,-95,-1202,-9502,-16584,87281,80618,3455,210366,Bille,Palenque,Départ,"Carnet de bord",1,"Jour 265",Palenque,36,40,17,7,2,"jeudi 20 juin 2013","N 17°30,366' W 91°58,502'",,,
266,2013,6,22,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,18339,193057,3369,-99,-2457,-99041,-17286,87837,81047,5326,215693,"Cuir peint","Parc aux iguanes, Juchitan",Desception,"Carnet de bord",1,"Jour 266","Parc aux iguanes, Juchitan",66,10,6,3,2,"vendredi 21 juin 2013","N 16°25,576' W 95°01,202'",,,
267,2013,6,23,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,2542,194237,339,-99,-8133,-991356,-17302,87808,81025,165,215857,"Perle verte","Gare routière San Lázaro","retour à Mexico DF","Carnet de bord",1,"Jour 267","Gare routière San Lázaro",7,9,7,3,2,"samedi 22 juin 2013","N 19°18,339' W 99°02,457'",,,
268,2013,6,24,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,255,19425,339,-99,-8135,-991356,-17302,87807,81024,1,215859,"Douille de plastique","Rue Isabel La Catolica",Retrouvailles,"Carnet de bord",1,"Jour 268","Rue Isabel La Catolica",96,16,11,1,1,"dimanche 23 juin 2013","N 19°25,420' W 99°08,133'",,,
269,2013,6,25,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,22483,193747,3382,-99,-8125,-991354,-17302,87848,81056,56,215915,"Graine non identifiée","Calle República de Uruguay","Départ d’Anaïs","Carnet de bord",1,"Jour 269","Calle República de Uruguay",17,44,13,3,2,"lundi 24 juin 2013","N 19°25,500' W 99°08,135'",,,
270,2013,6,26,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2228,19,25501,19425,339,-99,-8197,-991366,-17303,87808,81025,56,215971,"Petite petite cuillère","Auberge Amigo","Journée recherches","Carnet de bord",1,"Jour 270","Auberge Amigo",55,39,14,2,2,"mardi 25 juin 2013","N 19°22,483' W 99°08,125'",,,
271,2013,6,27,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,26108,194351,3392,-99,-889,-991482,-17305,87808,81025,17,215987,"Pièce de métal non identifiée","Rue Bolívar","Chômage technique","Carnet de bord",1,"Jour 271","Rue Bolívar",28,10,15,2,2,"mercredi 26 juin 2013","N 19°25,501' W 99°08,197'",,,
272,2013,6,28,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,22483,193747,3382,-99,-8125,-991354,-17302,87848,81056,69,216056,Punaise,"República de Chile","Mort officielle de notre ordinateur de bord","Carnet de bord",1,"Jour 272","República de Chile",2,18,14,2,2,"jeudi 27 juin 2013","N 19°26,108' W 99°08,890'",,,
273,2013,6,29,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2228,19,25565,194261,339,-99,-8151,-991359,-17302,87806,81024,57,216113,"Boucle d’oreille","Auberge Amigo","Recherche d’un ordinateur","Carnet de bord",1,"Jour 273","Auberge Amigo",42,24,6,3,2,"vendredi 28 juin 2013","N 19°22,483' W 99°08,125'",,,
274,2013,6,30,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2246,19,20152,193359,3375,-99,-10354,-991726,-17309,87906,81101,107,21622,"Fragment touilleur vert","Calle 16 de Septiembre","Gay Pride","Carnet de bord",1,"Jour 274","Calle 16 de Septiembre",623,65,1,0,2,"samedi 29 juin 2013","N 19°25,565' W 99°08,151'",,,
275,2013,7,1,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2244,19,26223,194371,3392,-99,-7148,-991191,-173,87786,81008,126,216346,"Granulés saveur ananas",Coyoacán,"Déjeuner avec Victor","Carnet de bord",1,"Jour 275",Coyoacán,87,7,14,2,2,"dimanche 30 juin 2013","N 19°20,152' W 99°10,354'",,,
276,2013,7,2,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2228,19,25337,194223,339,-99,-7418,-991236,-173,87801,81019,17,216363,lastique,"Calle de San Pablo","Réparation des vélos","Carnet de bord",1,"Jour 276","Calle de San Pablo",58,80,4,3,2,"mardi 2 juillet 2013","N 19°25,337' W 99°07,418'",,,
277,2013,7,3,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2241,19,26102,19435,3392,-99,-8396,-991399,-17303,87802,8102,22,216385,"Bobine de fil rouge","Parc Alameda","Après midi libre","Carnet de bord",1,"Jour 277","Parc Alameda",166,38,11,0,2,"mercredi 3 juillet 2013","N 19°26,102' W 99°08,396'",,,
278,2013,7,4,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2434,19,26228,194371,3392,-99,-7228,-991205,-173,87786,81008,21,216406,"Tige à brasage","Atelier de Bernardo Gomez","Rencontre avec Bernardo Gomez","Carnet de bord",1,"Jour 278","Atelier de Bernardo Gomez",143,38,6,2,2,"jeudi 4 juillet 2013","N 19°26,228' W 99°07,228'",,,
279,2013,7,5,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2244,19,26223,194371,3392,-99,-7148,-991191,-173,87786,81008,1,216407,"Bague plastique","Las Gruas Locas","Cassage de nez","Carnet de bord",1,"Jour 279","Las Gruas Locas",3,17,2,3,2,"vendredi 5 juillet 2013","N 19°26,223' W 99°07,148'",,,
280,2013,7,6,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,25417,194236,339,-99,-8185,-991364,-17303,87809,81026,23,216431,"Lego vert","Rue Regina",Interview,"Carnet de bord",1,"Jour 280","Rue Regina",34,12,6,3,2,"samedi 6 juillet 2013","N 19°25,417' W 99°08,185'",,,
281,2013,7,7,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,25405,194234,339,-99,-8134,-991356,-17302,87808,81025,1,216432,"Bijoux gomette","Calle Regina",Ecriture,"Carnet de bord",1,"Jour 281","Calle Regina",25,65,11,3,2,"dimanche 7 juillet 2013","N 19°25,405' W 99°08,134'",,,
282,2013,7,8,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,2556,19426,339,-99,-8165,-991361,-17302,87807,81024,3,216435,lastique,"Plaza de La Constitución",Emplette,"Carnet de bord",1,"Jour 282","Plaza de La Constitución",27,27,11,3,2,"lundi 8 juillet 2013","N 19°25,560' W 99°08,165'",,,
283,2013,7,9,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,2554,194257,339,-99,-8115,-991353,-17302,87806,81024,1,216436,Gellule,"Isabel la Católica","bidouillage audio","Carnet de bord",1,"Jour 283","Isabel la Católica",61,22,11,0,2,"mardi 9 juillet 2013","N 19°25,540' W 99°08,115'",,,
284,2013,7,10,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2232,19,22634,193772,3382,-99,-14,-990023,-17279,87751,80981,149,216585,"prise RCA","Centro Cultural Faro Oriente","Mercado salado","Carnet de bord",1,"Jour 284","Centro Cultural Faro Oriente",177,22,4,0,2,"mercredi 10 juillet 2013","N 19°22,634' W 99°00,140''",,,
285,2013,7,11,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,25554,194259,339,-99,-8654,-991442,-17304,87812,81029,158,216743,"Tube de colle","Calle 16 de Septiembre","Sur le chemin de La Casa Biciteka","Carnet de bord",1,"Jour 285","Calle 16 de Septiembre",147,66,2,2,2,"jeudi 11 juillet 2013"," N 19°25,554' W 99°08,654'",,,
286,2013,7,12,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2230,19,25035,194173,3389,-99,-8146,-991358,-17302,87814,81029,13,216757,"Pas de vis","Rancho Electronico","Découverte du Hackerspace de Mexico","Carnet de bord",1,"Jour 286","Rancho Electronico",528,30,14,2,2,"vendredi 12 juillet 2013","N 19°25,035' W 99°08,146'",,,
287,2013,7,13,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2230,19,25035,194173,3389,-99,-8146,-991358,-17302,87814,81029,0,216757,"Craie rose","Rancho Electronico","Conférence: web et libertées individuelles","Carnet de bord",1,"Jour 287","Rancho Electronico",21,40,11,6,2,"samedi 13 juillet 2013","N 19°25,035' W 99°08,146'",,,
288,2013,7,14,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2239,19,22362,193727,3381,-99,-8534,-991422,-17304,87855,81061,5,216807,"Crochet métallique","Calle Presidentes","Gringas du Yucathan","Carnet de bord",1,"Jour 288","Calle Presidentes",25,49,14,2,2,"dimanche 14 juillet 2013","N 19°22,362' W 99°08,534'",,,
289,2013,7,15,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2228,19,25366,194228,339,-99,-8143,-991357,-17302,87809,81026,56,216863,Fusible,"Calle Isabel la Católica",visites,"Carnet de bord",1,"Jour 289","Calle Isabel la Católica",142,20,6,0,2,"lundi 15 juillet 2013","N 19°25,366' W 99°08,143'",,,
290,2013,7,16,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2241,19,21485,193581,3379,-99,-852,-99142,-17304,87866,8107,72,216935,"Confiture de fraise","Calle Canarias","Journée ordinateur","Carnet de bord",1,"Jour 290","Calle Canarias",665,80,2,0,2,"mardi 16 juillet 2013","N 19°21,485' W 99°08,520'",,,
291,2013,7,17,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2241,19,21485,193581,3379,-99,-852,-99142,-17304,87866,8107,0,216935,"Demies perles bleues","Calle Canarias","Avant l’interview","Carnet de bord",1,"Jour 291","Calle Canarias",68,16,6,3,2,"mercredi 17 juillet 2013","N 19°21,485' W 99°08,520'",,,
292,2013,7,18,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,26266,194378,3393,-99,-7564,-991261,-17301,8779,81011,9,217025,"Vis de frein","Central Del Pueblo","Nouveaux appartements","Carnet de bord",1,"Jour 292","Central Del Pueblo",277,23,14,2,2,"jeudi 18 juillet 2013","N 19°26,266' W 99°07,564'",,,
293,2013,7,19,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,26266,194378,3393,-99,-7564,-991261,-17301,8779,81011,0,217025,Cordelette,"Central Del Pueblo",Action,"Carnet de bord",1,"Jour 293","Central Del Pueblo",4,43,14,4,2,"vendredi 19 juillet 2013","N 19°26,266' W 99°07,564'",,,
294,2013,7,20,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,26248,194375,3392,-99,-8144,-991357,-17302,87797,81017,1,217035,"Diamant rouge","Calle Allende","Recherche intensive de bidons","Carnet de bord",1,"Jour 294","Calle Allende",26,13,11,3,2,"samedi 20 juillet 2013","N 19°26,248' W 99°08,144'",,,
295,2013,7,21,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2228,19,26227,194371,3392,-99,-7597,-991266,-17301,87791,81012,1,217045,Ventouse,"Calle República de Brasil","Journée off","Carnet de bord",1,"Jour 295","Calle República de Brasil",5,20,11,3,2,"dimanche 21 juillet 2013","N 19°26,227' W 99°07,597'",,,
296,2013,7,22,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,26323,194387,3393,-99,-8479,-991413,-17303,8780,81019,16,21706,"Dé de métal",Recycleria,"Rapatriement des tambos","Carnet de bord",1,"Jour 296",Recycleria,1091,15,17,2,2,"lundi 22 juillet 2013","N 19°26,323' W 99°08,479'",,,
297,2013,7,23,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26266,194378,3393,-99,-7508,-991251,-17301,87789,81011,17,217077,"Connectique à vis","Central Del Pueblo","Nettoyage des tambos","Carnet de bord",1,"Jour 297","Central Del Pueblo",231,22,14,2,2,"mardi 23 juillet 2013","N 19°26,266' W 99°07,508'",,,
298,2013,7,24,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2228,19,2552,194253,339,-99,-8273,-991379,-17303,87808,81025,19,217097,"Objet de métal non identifié","Calle República de Uruguay",Courses,"Carnet de bord",1,"Jour 298","Calle República de Uruguay",55,20,14,2,2,"mercredi 24 juillet 2013","N 19°25,520' W 99°08,273'",,,
299,2013,7,25,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26266,194378,3393,-99,-7508,-991251,-17301,87789,81011,19,217116,Mèche,"Central Del Pueblo","Premier montage de la structure","Carnet de bord",1,"Jour 299","Central Del Pueblo",16,57,15,2,2,"jeudi 25 juillet 2013","N 19°26,266' W 99°07,508'",,,
300,2013,7,26,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26279,19438,3393,-99,-7498,-99125,-17301,87789,8101,0,217116,"Feu de Bengal","Central Del Pueblo","Vernissage #1","Carnet de bord",1,"Jour 300","Central Del Pueblo",63,65,14,0,2,"vendredi 26 juillet 2013","N 19°26,279' W 99°07,498'",,,
301,2013,7,27,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2230,19,26196,194366,3392,-99,-8014,-991336,-17302,87796,81016,9,217125,"Dentelle rose","Calle República de Brasil","Samedi repos","Carnet de bord",1,"Jour 301","Calle República de Brasil",25,37,11,4,2,"samedi 27 juillet 2013","N 19°26,196' W 99°08,014'",,,
302,2013,7,28,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2233,19,27606,194601,3396,-99,-8142,-991357,-17302,87778,81002,26,217151,"Pastel gras","Plaza de las Tres Culturas","Fest deiz indien","Carnet de bord",1,"Jour 302","Plaza de las Tres Culturas",174,40,11,3,2,"dimanche 28 juillet 2013","N 19°27,606' W 99°08,142'",,,
303,2013,7,29,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26279,19438,3393,-99,-7498,-99125,-17301,87789,8101,27,217179,"Objet de métal non identifié","Central Del Pueblo",Patching,"Carnet de bord",1,"Jour 303","Central Del Pueblo",23,28,14,2,2,"lundi 29 juillet 2013","N 19°26,279' W 99°07,498'",,,
304,2013,7,30,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,25532,194255,339,-99,-8423,-991404,-17303,8781,81027,21,21720,"Reflecteur de laser","Calle 5 de Febrero","Rencontres punk","Carnet de bord",1,"Jour 304","Calle 5 de Febrero",192,13,14,2,2,"mardi 30 juillet 2013","N 19°25,532' W 99°08,423'",,,
305,2013,7,31,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2241,19,21485,193581,3379,-99,-852,-99142,-17304,87866,8107,75,217275,"Chaussure barbie","Calle Canarias","Retour à la maison","Carnet de bord",1,"Jour 305","Calle Canarias",195,30,11,3,2,"mercredi 31 juillet 2013","N 19°21,485' W 99°08,520'",,,
306,2013,8,1,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2241,19,21485,193581,3379,-99,-852,-99142,-17304,87866,8107,0,217275,Quartz,"Calle Canarias","Journée studieuse","Carnet de bord",1,"Jour 306","Calle Canarias",185,38,16,0,2,"jeudi 1 août 2013","N 19°21,485' W 99°08,520'",,,
307,2013,8,2,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2229,19,26734,194456,3394,-99,-8883,-991481,-17305,87799,81018,98,217372,"Epingle à nourrisse","Calle de Tacuba","Sortie gothique","Carnet de bord",1,"Jour 307","Calle de Tacuba",16,22,14,2,2,"vendredi 2 août 2013","N 19°26,734' W 99°08,883'",,,
308,2013,8,3,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26279,19438,3393,-99,-7498,-99125,-17301,87789,8101,26,217398,Vis,"Central Del Pueblo",(Re)montage,"Carnet de bord",1,"Jour 308","Central Del Pueblo",754,44,14,2,2,"samedi 3 août 2013","N 19°26,279' W 99°07,498'",,,
309,2013,8,4,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26279,19438,3393,-99,-7498,-99125,-17301,87789,8101,0,217398,"Capsule de Corona","Central Del Pueblo",Festival!,"Carnet de bord",1,"Jour 309","Central Del Pueblo",211,27,4,2,2,"dimanche 4 août 2013","N 19°26,279' W 99°07,498'",,,
310,2013,8,5,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26279,19438,3393,-99,-7498,-99125,-17301,87789,8101,0,217398,vis,"Central Del Pueblo","Démontage final","Carnet de bord",1,"Jour 310","Central Del Pueblo",857,28,14,2,2,"lundi 5 août 2013","N 19°26,279' W 99°07,498'",,,
311,2013,8,6,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26279,19438,3393,-99,-7498,-99125,-17301,87789,8101,0,217398,"Gaine thermo-formable","Central Del Pueblo",Shampoing,"Carnet de bord",1,"Jour 311","Central Del Pueblo",55,75,11,3,2,"mardi 6 août 2013","N 19°26,279' W 99°07,498'",,,
312,2013,8,7,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26279,19438,3393,-99,-7498,-99125,-17301,87789,8101,0,217398,"Maillon de chaine","Central Del Pueblo","Démontage de nos bécanes","Carnet de bord",1,"Jour 312","Central Del Pueblo",82,21,14,2,2,"mercredi 7 août 2013","N 19°26,279' W 99°07,498'",,,
313,2013,8,8,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26279,19438,3393,-99,-7498,-99125,-17301,87789,8101,0,217398,Rayon,"Central Del Pueblo","Nettoyage en profondeur","Carnet de bord",1,"Jour 313","Central Del Pueblo",222,64,14,2,2,"jeudi 8 août 2013","N 19°26,279' W 99°07,498'",,,
314,2013,8,9,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2230,19,26764,194461,3394,-99,-8464,-991411,-17303,87794,81014,19,217417,"Diamant blanc","El Laboratoire del Arte Alameda","Concert organico-digital","Carnet de bord",1,"Jour 314","El Laboratoire del Arte Alameda",72,20,16,3,2,"vendredi 9 août 2013","N 19°26,764' W 99°08,464'",,,
315,2013,8,10,Mexico-D.F,Mexico-D.F,Mexico,0,5250,2227,19,26279,19438,3393,-99,-7498,-99125,-17301,87789,8101,19,217436,"Papier de verre","Central Del Pueblo","Première couche","Carnet de bord",1,"Jour 315","Central Del Pueblo",64,82,14,0,2,"samedi 10 août 2013","N 19°26,279' W 99°07,498'",,,
